ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
273,Tecnologi,Celulares y teli,270000
274,Deportes y entretenimiento,Arti,275000
275,Hogar y decoracii,Muebles,280000
276,Vehi,Accesorios,280000
277,Tecnologi,Accesorios tecnologi,280000
278,Tecnologi,Celulares y teli,280000
279,Vehi,Accesorios,280000
280,Hogar y decoracii,Dormitorios,280000
281,Tecnologi,Celulares y teli,280000
282,Electrodomi,Cocinas,280000
283,Deportes y entretenimiento,Otros    ,300000
284,Electrodomi,Neveras - congeladores,300000
285,Moda y accesorios,Otros,300000
286,Hogar y decoracii,Muebles,300000
287,Hogar y decoracii,Muebles,300000
288,Deportes y entretenimiento,Bicicletas y accesorios,300000
289,Tecnologi,Otros     ,300000
290,Bebi,Coches,300000
291,Electrodomi,Otros,300000
292,Deportes y entretenimiento,Otros    ,300000
293,Moda y accesorios,Zapatos,300000
294,Servicios y maquinaria,Clases - cursos,320000
295,Hogar y decoracii,Muebles,320000
296,Servicios y maquinaria,Reparaciones,333000
297,Inmuebles,Fincas,350000
298,Tecnologi,Videojuegos - consolas,350000
299,Tecnologi,Videojuegos - consolas,350000
300,Electrodomi,Otros,350000
301,Tecnologi,Camaras y accesorios,350000
302,Tecnologi,Computadores  laptops y accesorios,350000
303,Hogar y decoracii,Muebles,350000
304,Moda y accesorios,Accesorios,350000
305,Deportes y entretenimiento,Arti,350000
306,Deportes y entretenimiento,Otros    ,350000
307,Inmuebles,Fincas,370000
308,Hogar y decoracii,Muebles,380000
309,Tecnologi,Otros     ,380000
310,Tecnologi,Audio,380000
311,Hogar y decoracii,Muebles,380000
312,Bebi,Coches,400000
313,Tecnologi,Audio,400000
314,Deportes y entretenimiento,Bicicletas y accesorios,400000
315,Electrodomi,Neveras - congeladores,400000
316,Tecnologi,Celulares y teli,400000
317,Hogar y decoracii,Muebles,400000
318,Deportes y entretenimiento,Arti,400000
319,Deportes y entretenimiento,Bicicletas y accesorios,400000
320,Bebi,Coches,400000
321,Tecnologi,Celulares y teli,400000
322,Electrodomi,Neveras - congeladores,400000
323,Bebi,Coches,400000
324,Moda y accesorios,Accesorios,415000
325,Bebi,Dormitorios - cunas,420000
326,Tecnologi,Computadores  laptops y accesorios,420000
327,Tecnologi,Audio,420000
328,Tecnologi,Audio,430000
329,Tecnologi,Accesorios tecnologi,430000
330,Hogar y decoracii,Salas,430000
331,Hogar y decoracii,Muebles,450000
332,Electrodomi,Aire acondicionados - ventiladores,450000
333,Deportes y entretenimiento,Bicicletas y accesorios,450000
334,Hogar y decoracii,Muebles,450000
335,Tecnologi,Accesorios tecnologi,450000
336,Tecnologi,Accesorios tecnologi,450000
337,Electrodomi,Otros,450000
338,Inmuebles,Apartamentos,450000
339,Deportes y entretenimiento,Boleteri,450000
340,Deportes y entretenimiento,Instrumentos musicales y accesorios,450000
341,Deportes y entretenimiento,Instrumentos musicales y accesorios,450000
342,Hogar y decoracii,Decoracii,470000
343,Inmuebles,Oficinas y otros,500000
344,Deportes y entretenimiento,Bicicletas y accesorios,500000
345,Moda y accesorios,Otros,500000
346,Deportes y entretenimiento,Arti,500000
347,Inmuebles,Fincas,500000
