USER_ID,UBICATION,CORPORATE
7735,Santafe De Bogota D.C.,Bancolombia
7739,Marinilla,Bancolombia
7760,Santafe De Bogota D.C.,Bancolombia
7765,Santafe De Bogota D.C.,Bancolombia
7782,Rionegro,Bancolombia
7786,Medellin,Bancolombia
7789,Medellin,Bancolombia
7796,Medellin,Bancolombia
7799,Medellin,Bancolombia
7803,Medellin,Bancolombia
7809,Medellin,Bancolombia
7814,Entrerrios,Bancolombia
7828,Medellin,Bancolombia
7850,Medellin,Bancolombia
7902,San Pedro,Bancolombia
7910,Medellin,Bancolombia
7911,Santafe De Bogota D.C.,Bancolombia
7922,Medellin,Bancolombia
7952,Libano,Bancolombia
7981,Santafe De Bogota D.C.,Bancolombia
8008,Medellin,Bancolombia
8009,Santafe De Bogota D.C.,Bancolombia
8020,Medellin,Bancolombia
8030,Medellin,Bancolombia
8088,Medellin,Bancolombia
8090,Medellin,Bancolombia
8109,Medellin,Bancolombia
8117,Medellin,Bancolombia
8123,Medellin,Bancolombia
8126,Santafe De Bogota D.C.,Bancolombia
8174,Medellin,Bancolombia
8177,Medellin,Bancolombia
8212,Medellin,Bancolombia
8215,Envigado,Bancolombia
8217,Santafe De Bogota D.C.,Bancolombia
8220,Medellin,Bancolombia
8229,Medellin,Bancolombia
8262,Envigado,Bancolombia
8266,Medellin,Bancolombia
8328,Medellin,Bancolombia
8377,Bello,Bancolombia
8398,Santafe De Bogota D.C.,Bancolombia
8407,Medellin,Bancolombia
8463,Medellin,Bancolombia
8548,Medellin,Bancolombia
8557,Marinilla,Bancolombia
8572,Santa Marta,Bancolombia
8599,Medellin,Bancolombia
8600,Santafe De Bogota D.C.,Bancolombia
8606,Medellin,Bancolombia
8656,Santafe De Bogota D.C.,Bancolombia
8666,Medellin,Bancolombia
8678,Medellin,Bancolombia
8692,Medellin,Bancolombia
8698,Medellin,Pragma
8700,Medellin,Bancolombia
8752,Medellin,Bancolombia
8760,Medellin,Bancolombia
8787,Medellin,Bancolombia
8807,Medellin,Bancolombia
8821,Medellin,Bancolombia
8823,Medellin,Bancolombia
8847,Medellin,Bancolombia
8848,Medellin,Bancolombia
8864,La Dorada,Bancolombia
8869,Santafe De Bogota D.C.,Bancolombia
8915,Medellin,Bancolombia
8947,Medellin,Bancolombia
8975,Albania,Bancolombia
8990,Santafe De Bogota D.C.,Bancolombia
9015,Bello,Bancolombia
9016,Santafe De Bogota D.C.,Bancolombia
9030,Medellin,Bancolombia
9035,Medellin,Bancolombia
9095,Santafe De Bogota D.C.,Bancolombia
9109,Medellin,Bancolombia
9125,Medellin,Bancolombia
9139,Itagui,Bancolombia
9144,Medellin,Bancolombia
9156,Medellin,Bancolombia
9202,San Pedro,Bancolombia
9213,Medellin,Bancolombia
9256,Medellin,Bancolombia
9271,Envigado,Bancolombia
9289,Medellin,Bancolombia
9313,Santafe De Bogota D.C.,Bancolombia
9325,Santafe De Bogota D.C.,Bancolombia
9372,Manizales,Bancolombia
9374,Santafe De Bogota D.C.,Bancolombia
9383,Cucuta,Bancolombia
9402,Santafe De Bogota D.C.,Bancolombia
9424,Santafe De Bogota D.C.,Bancolombia
9425,Santafe De Bogota D.C.,Bancolombia
9442,Santafe De Bogota D.C.,Bancolombia
9515,Medellin,Bancolombia
9534,Itagui,Bancolombia
9543,Medellin,Bancolombia
9547,Andes,Bancolombia
9642,Villavicencio,Bancolombia
9665,Itagui,Bancolombia
9672,Santafe De Bogota D.C.,Bancolombia
9685,Medellin,Bancolombia
9718,Pereira,Bancolombia
9739,Medellin,Bancolombia
9756,Medellin,Bancolombia
9776,Medellin,Bancolombia
9791,Medellin,Bancolombia
9795,Garagoa,Bancolombia
9835,Medellin,Bancolombia
9878,Medellin,Bancolombia
9888,Santafe De Bogota D.C.,Bancolombia
9892,Medellin,Bancolombia
9897,Santafe De Bogota D.C.,Bancolombia
9902,Medellin,Bancolombia
9941,Medellin,Bancolombia
9985,Medellin,Bancolombia
10047,Medellin,Bancolombia
11197,Medellin,Bancolombia
11215,Santafe De Bogota D.C.,Proteccion
11236,Envigado,Bancolombia
11262,Guatemala,BAM
11288,Medellin,Bancolombia
11292,Medellin,Bancolombia
11342,Medellin,Bancolombia
11450,Medellin,Bancolombia
11548,Santafe De Bogota D.C.,Bancolombia
11623,La Ceja,Bancolombia
11638,Barranquilla,Bancolombia
11643,Rionegro,Bancolombia
11728,Bello,Bancolombia
11748,Santafe De Bogota D.C.,Bancolombia
11751,Santafe De Bogota D.C.,Bancolombia
11761,Cali,Bancolombia
11765,Medellin,Bancolombia
11775,Santafe De Bogota D.C.,Bancolombia
11777,Envigado,Fabricato
11782,Medellin,Fabricato
11848,Neiva,Bancolombia
11859,Santafe De Bogota D.C.,Bancolombia
11865,Medellin,Bancolombia
11882,Medellin,Bancolombia
